year,spl_adjusted,spp_adjusted,price_diff,price_diff_adjusted,percent_increase,percent_increase_adjusted,days_between_sales
2011,131440,109973,20252,21467,20,20,100
2011,116282,204211,-75946,-87929,-41,-43,189
2011,254400,286399,-20363,-31999,-8,-11,264
2011,301305,351322,-35134,-50017,-11,-14,302
2011,78440,100568,-17425,-22128,-19,-22,174
2011,79500,144925,-56750,-65425,-43,-45,258
2011,313045,351591,-36365,-38547,-11,-11,126
2011,286200,454068,-142789,-167868,-35,-37,267
2011,667800,577500,105000,90300,20,16,323
2011,75260,223857,-132506,-148597,-65,-66,265
2011,416368,121900,277800,294468,242,242,157
2011,126140,208008,-77234,-81868,-39,-39,145
2011,134620,160160,-18600,-25540,-13,-16,323
2011,215180,261814,-43994,-46634,-18,-18,64
2011,190800,180663,9563,10137,6,6,20
2011,148109,116875,33475,31234,32,27,199
2011,539912,143100,374351,396812,277,277,161
2011,153700,140800,17000,12900,13,9,242
2011,365700,187621,167999,178079,95,95,156
2011,174900,229075,-43250,-54175,-21,-24,214
2011,223905,223905,0,0,0,0,11
2011,182085,188491,-6044,-6407,-3,-3,72
2011,192390,226415,-24332,-34025,-12,-15,247
2011,132500,144160,-11000,-11660,-8,-8,58
2011,267014,320860,-50798,-53846,-17,-17,66
2011,530000,204580,307000,325420,159,159,98
2011,127200,191563,-54148,-64363,-31,-34,197
2011,121900,165000,-35000,-43100,-23,-26,365
2011,121900,153170,-29500,-31270,-20,-20,97
2011,118720,149631,-24028,-30911,-18,-21,304
2011,203520,364204,-151589,-160684,-44,-44,10
2011,352450,86900,253500,265550,321,306,208
2011,201400,181500,25000,19900,15,11,212
2011,263940,66000,189000,197940,315,300,271
2011,179882,148400,29700,31482,21,21,6
2011,462160,325420,129000,136740,42,42,145
2011,222600,203125,18373,19475,10,10,131
2011,141510,101760,37500,39750,39,39,125
2011,94128,196546,-89878,-102418,-50,-52,308
2011,400680,98890,288100,301790,320,305,296
2011,99879,162800,-53775,-62922,-36,-39,233
